               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03086,           0.0067336,                   0,             0.95322,                0.88,             0.93248,             0.51667,            0.031395,           0.0042622,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.028004,           0.0070578,                   0,             0.87703,             0.85588,             0.86235,             0.44315,            0.036213,           0.0045032,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.029706,           0.0067706,                   0,             0.90791,                0.82,             0.83419,             0.40551,            0.034129,           0.0045264,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.028848,            0.006886,                   0,             0.89081,                0.84,             0.85853,             0.46394,            0.032127,           0.0045668,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.028537,           0.0067041,                   0,             0.86933,                0.82,             0.79381,             0.43089,            0.034315,           0.0044867,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.027909,           0.0064829,                   0,             0.94233,                0.84,             0.84978,              0.4455,            0.032255,           0.0043686,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.029188,           0.0067157,                   0,             0.90638,                0.84,             0.84603,              0.4838,            0.032279,           0.0044139,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.027488,           0.0063635,                   0,             0.91658,                0.82,             0.84949,             0.46134,            0.031217,           0.0044467,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.02849,           0.0062034,                   0,             0.93162,                0.86,             0.89605,             0.45812,            0.031894,           0.0045094,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.026822,           0.0065613,                   0,             0.93602,             0.87783,             0.88507,             0.48884,            0.030486,           0.0043716,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.026387,           0.0067632,                   0,             0.91427,                0.86,             0.81593,             0.44233,            0.030535,            0.004429,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.027188,           0.0063527,                   0,             0.90784,                0.84,             0.83748,             0.45066,            0.031133,           0.0044986,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028009,           0.0064403,                   0,             0.90558,                0.84,             0.87474,             0.47081,            0.031111,           0.0042989,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.027115,           0.0064776,                   0,             0.88935,                 0.8,             0.84612,               0.427,            0.031903,           0.0043121,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.027473,           0.0064487,                   0,             0.91899,                0.82,             0.87716,             0.46145,            0.030469,           0.0042902,                   0,            0.008317,            0.008317,            0.008317
