               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.031681,           0.0070391,                   0,             0.95476,                 0.9,             0.90974,             0.46046,            0.033913,           0.0041478,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.031585,           0.0075948,                   0,             0.95858,                0.84,             0.88843,             0.44677,            0.035481,            0.004323,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.031652,           0.0073054,                   0,             0.95522,              0.8533,              0.8744,              0.4094,            0.035524,           0.0044206,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031231,           0.0073934,                   0,              0.9094,                0.86,             0.86547,             0.47852,            0.031797,           0.0042613,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.03087,           0.0073446,                   0,             0.89521,                0.88,              0.8752,             0.38407,            0.037213,             0.00436,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.029421,           0.0071759,                   0,             0.91032,                0.86,              0.8479,             0.45043,            0.033763,           0.0043761,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.03229,           0.0073578,                   0,             0.91198,                0.86,             0.88454,             0.48518,            0.033273,           0.0043034,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028831,           0.0069709,                   0,             0.95538,             0.85648,             0.90002,             0.50068,            0.031935,           0.0042995,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.02963,           0.0066746,                   0,             0.94648,                0.86,             0.88803,             0.49953,            0.032307,           0.0042911,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.029564,           0.0071998,                   0,             0.95567,                0.86,             0.89908,              0.4702,            0.032222,           0.0042783,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.026857,            0.007254,                   0,             0.92324,                0.84,             0.87075,             0.46469,            0.032816,           0.0044612,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.029397,             0.00685,                   0,             0.89467,                 0.8,             0.82679,             0.44125,            0.032722,            0.004393,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.02967,            0.006881,                   0,             0.90089,                0.82,             0.82791,             0.48507,            0.032493,           0.0041617,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.028774,           0.0069526,                   0,             0.85726,                0.78,             0.83775,             0.44289,            0.032304,           0.0043433,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.027307,            0.006705,                   0,             0.79239,                0.84,             0.82973,             0.47699,            0.031569,           0.0043817,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.026397,            0.006659,                   0,             0.90975,                0.86,             0.89522,             0.47673,            0.031203,           0.0042007,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026997,           0.0066962,                   0,             0.91632,              0.8761,             0.91359,             0.50351,            0.030907,           0.0039874,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.02709,           0.0067514,                   0,              0.9247,                0.86,             0.89199,             0.45376,            0.033093,           0.0042404,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.028957,           0.0070631,                   0,             0.91112,                0.86,             0.90451,             0.48274,            0.032804,           0.0042123,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.026979,           0.0066714,                   0,             0.95729,             0.89664,              0.9149,             0.47381,            0.031765,           0.0041544,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.02836,           0.0063686,                   0,              0.9573,             0.89681,             0.89707,             0.46744,            0.031603,           0.0041717,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.028617,           0.0069065,                   0,              0.9358,             0.87459,             0.88427,             0.45579,             0.03174,           0.0043945,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025764,           0.0066017,                   0,             0.95616,             0.87251,             0.88233,             0.49004,            0.031728,            0.004238,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.026298,           0.0067399,                   0,             0.95625,             0.87434,             0.87877,             0.44376,            0.033621,           0.0044127,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.028252,           0.0065066,                   0,              0.9101,                0.88,             0.86043,             0.45191,            0.031938,           0.0046568,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.026781,           0.0065265,                   0,             0.93247,                0.86,             0.86381,             0.45711,            0.031434,            0.004408,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.026296,           0.0063255,                   0,             0.91444,              0.8551,             0.87252,             0.45126,            0.032351,           0.0042782,                   0,            0.007921,            0.007921,            0.007921
